id;stock;news_dt;check_day;open;close;high;low;volume;change;sentiment_summary_avg;sentiment_summary_med;sentiment_title_avg;sentiment_title_med
AAPL_2020-07-25;AAPL;2020-07-25 16:57:28;2020-07-27;0;0;0;0;0;UNCHECKED;0.3777111111111111;0.4939;0.2392333333333333;0.0
AAPL_2020-07-24;AAPL;2020-07-24 23:42:00;2020-07-27;0;0;0;0;0;UNCHECKED;0.06437272727272728;0.0;-0.022272727272727274;0.0
MSFT_2020-07-25;MSFT;2020-07-25 17:02:00;2020-07-27;0;0;0;0;0;UNCHECKED;0.1115875;0.24305;-0.161725;0.0
MSFT_2020-07-24;MSFT;2020-07-24 21:25:00;2020-07-27;0;0;0;0;0;UNCHECKED;0.053860000000000005;0.10115;-0.08294;0.0
NFLX_2020-07-25;NFLX;2020-07-25 14:04:00;2020-07-27;0;0;0;0;0;UNCHECKED;0.1779;0.1779;0.29600000000000004;0.29600000000000004
NFLX_2020-07-24;NFLX;2020-07-24 17:42:00;2020-07-24;0;0;0;0;0;UNCHECKED;0.3458428571428572;0.0516;0.010485714285714284;0.0
NFLX_2020-07-23;NFLX;2020-07-23 15:23:13;2020-07-23;0;0;0;0;0;UNCHECKED;0.4571666666666666;0.4019;-0.0593;0.0
NFLX_2020-07-22;NFLX;2020-07-22 20:06:00;2020-07-23;0;0;0;0;0;UNCHECKED;0.43;0.7297;0.08748333333333333;0.10115
MIST_2020-07-24;MIST;2020-07-24 22:17:00;2020-07-27;0;0;0;0;0;UNCHECKED;0.9868;0.9868;0.49060000000000004;0.49060000000000004
MIST_2020-07-23;MIST;2020-07-23 11:00:00;2020-07-23;0;0;0;0;0;UNCHECKED;0.6778500000000001;0.6778500000000001;0.0;0.0
MIST_2020-06-12;MIST;2020-06-12 10:39:10;2020-06-12;0;0;0;0;0;UNCHECKED;0.7783;0.7783;0.296;0.296
MIST_2020-06-10;MIST;2020-06-10 12:37:12;2020-06-10;0;0;0;0;0;UNCHECKED;0.5423;0.5423;0.4404;0.4404
MIST_2020-06-05;MIST;2020-06-05 18:46:49;2020-06-05;0;0;0;0;0;UNCHECKED;0.6597;0.6597;0.0;0.0
MIST_2020-05-27;MIST;2020-05-27 11:00:00;2020-05-27;0;0;0;0;0;UNCHECKED;0.0;0.0;0.0;0.0
MIST_2020-05-20;MIST;2020-05-20 14:00:00;2020-05-20;0;0;0;0;0;UNCHECKED;0.40205;0.40205;0.0129;0.0129
MIST_2020-05-19;MIST;2020-05-19 11:22:11;2020-05-19;0;0;0;0;0;UNCHECKED;0.2023;0.2023;0.2023;0.2023
MIST_2020-05-14;MIST;2020-05-14 11:15:00;2020-05-14;0;0;0;0;0;UNCHECKED;0.6705;0.6705;0.0;0.0
MIST_2020-03-24;MIST;2020-03-24 12:20:34;2020-03-24;0;0;0;0;0;UNCHECKED;0.994;0.994;-0.802;-0.802
